

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
046.614  000.067  000.067: require('nvim-treesitter.textobjects.shared')
046.617  000.124  000.057: require('nvim-treesitter.textobjects.select')
046.735  000.055  000.055: require('nvim-treesitter.textobjects.attach')
051.615  000.085  000.085: require('nvim-treesitter.textobjects.repeatable_move')
051.619  004.993  004.854: require('nvim-treesitter.textobjects.move')
051.802  000.067  000.067: require('nvim-treesitter.textobjects.swap')
051.964  000.136  000.136: require('nvim-treesitter.textobjects.lsp_interop')
051.977  005.858  000.184: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
052.171  000.055  000.055: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/nvim-ts-context-commentstring/plugin/ts_context_commentstring.lua
053.037  000.064  000.064: require('treesitter-context.config')
053.043  000.406  000.342: require('treesitter-context')
053.081  000.487  000.081: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/nvim-treesitter-context/plugin/treesitter-context.lua
054.088  000.052  000.052: require('nvim-ts-autotag._log')
054.144  000.055  000.055: require('nvim-ts-autotag.utils')
054.151  000.193  000.086: require('nvim-ts-autotag.internal')
054.153  000.595  000.403: require('nvim-ts-autotag')
054.155  000.607  000.012: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
054.926  000.662  000.662: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
055.002  000.063  000.063: require('ts_context_commentstring')
055.064  000.060  000.060: require('ts_context_commentstring.config')
084.051  000.141  000.141: require('nvim-treesitter.highlight')
084.325  000.077  000.077: require('nvim-treesitter.indent')
084.662  000.054  000.054: require('nvim-autopairs._log')
084.724  000.061  000.061: require('nvim-autopairs.utils')
084.983  000.113  000.113: require('nvim-autopairs.conds')
084.989  000.198  000.085: require('nvim-autopairs.rule')
084.990  000.265  000.068: require('nvim-autopairs.rules.basic')
085.000  000.605  000.225: require('nvim-autopairs')
085.292  000.079  000.079: require('nvim-autopairs.ts-conds')
085.296  000.157  000.078: require('nvim-autopairs.rules.ts_basic')
085.402  000.105  000.105: require('vim.treesitter.highlighter')
086.270  000.062  000.062: require('nvim-autopairs.ts-rule')
086.288  000.159  000.097: require('nvim-autopairs.rules.endwise-lua')
086.651  000.261  000.261: require('nvim-autopairs.rules.endwise-ruby')
087.200  000.088  000.088: require('hlargs.config')
087.302  000.100  000.100: require('hlargs.util')
087.308  000.317  000.129: require('hlargs.parse')
087.516  000.065  000.065: require('hlargs.colorpalette')
087.519  000.139  000.074: require('hlargs.paint')
087.523  000.214  000.076: require('hlargs.bufdata')
087.584  000.059  000.059: require('hlargs.async')
087.590  000.702  000.111: require('hlargs.events')
087.592  000.779  000.077: require('hlargs')
088.639  000.417  000.417: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-tmux-clipboard/plugin/vimtmuxclipboard.vim
089.121  000.147  000.147: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vimux/plugin/vimux.vim
089.307  000.071  000.071: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-tmux-navigator/plugin/tmux_navigator.vim
090.205  000.423  000.423: require('rainbow-delimiters.config')
090.310  000.104  000.104: require('rainbow-delimiters.log')
090.443  000.060  000.060: require('rainbow-delimiters.util')
090.446  000.135  000.075: require('rainbow-delimiters.lib')
090.658  000.073  000.073: require('rainbow-delimiters.stack')
090.661  000.150  000.077: require('rainbow-delimiters.strategy.global')
090.666  000.219  000.068: require('rainbow-delimiters.default')
090.685  000.964  000.083: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/rainbow-delimiters.nvim/plugin/rainbow-delimiters.lua
090.843  000.075  000.075: require('rainbow-delimiters.strategy.local')
090.896  000.052  000.052: require('rainbow-delimiters.strategy.no-op')
090.897  000.202  000.075: require('rainbow-delimiters')
090.951  000.053  000.053: require('rainbow-delimiters.setup')
091.114  000.041  000.041: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-showmarks/plugin/showmarks.vim
093.445  000.024  000.024: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
094.343  000.138  000.138: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/fzf-mru.vim/autoload/fzf_mru/mrufiles.vim
094.382  000.485  000.347: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/fzf-mru.vim/plugin/fzf_mru.vim
094.698  000.189  000.189: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
095.754  000.207  000.207: require('telescope._extensions')
095.761  001.045  000.839: require('telescope')
096.980  000.052  000.052: require('plenary.bit')
097.035  000.053  000.053: require('plenary.functional')
097.052  000.196  000.091: require('plenary.path')
097.064  000.468  000.272: require('plenary.strings')
097.122  000.058  000.058: require('telescope.deprecated')
097.335  000.087  000.087: require('plenary.log')
097.365  000.172  000.084: require('telescope.log')
097.522  000.066  000.066: require('plenary.job')
097.581  000.059  000.059: require('telescope.state')
097.585  000.220  000.095: require('telescope.utils')
097.589  000.466  000.075: require('telescope.sorters')
098.533  002.512  001.521: require('telescope.config')
098.697  000.056  000.056: require('plenary.window.border')
098.783  000.085  000.085: require('plenary.window')
098.831  000.046  000.046: require('plenary.popup.utils')
098.832  000.297  000.110: require('plenary.popup')
098.927  000.094  000.094: require('telescope.pickers.scroller')
099.018  000.090  000.090: require('telescope.actions.state')
099.083  000.065  000.065: require('telescope.actions.utils')
099.218  000.069  000.069: require('telescope.actions.mt')
099.225  000.141  000.072: require('telescope.actions.set')
099.351  000.071  000.071: require('telescope.config.resolve')
099.352  000.126  000.055: require('telescope.pickers.entry_display')
099.406  000.053  000.053: require('telescope.from_entry')
099.495  003.733  000.354: require('telescope.actions')
099.668  000.051  000.051: require('telescope.pickers.window')
099.679  000.129  000.078: require('telescope.pickers.layout_strategies')
099.724  000.229  000.100: require('telescope.actions.layout')
100.746  000.281  000.281: require('fzf_lib')
100.748  000.352  000.071: require('telescope._extensions.fzf')
101.301  000.084  000.084: require('plenary.tbl')
101.303  000.134  000.051: require('plenary.vararg.rotate')
101.304  000.208  000.073: require('plenary.vararg')
101.350  000.045  000.045: require('plenary.errors')
101.352  000.331  000.078: require('plenary.async.async')
101.541  000.046  000.046: require('plenary.async.structs')
101.545  000.100  000.054: require('plenary.async.control')
101.547  000.150  000.051: require('plenary.async.util')
101.549  000.196  000.045: require('plenary.async.tests')
101.550  000.607  000.080: require('plenary.async')
101.614  000.063  000.063: require('telescope.debounce')
101.736  000.120  000.120: require('telescope.mappings')
101.802  000.064  000.064: require('telescope.pickers.highlights')
101.924  000.060  000.060: require('telescope.algos.linked_list')
101.926  000.123  000.063: require('telescope.entry_manager')
101.985  000.058  000.058: require('telescope.pickers.multi')
101.993  001.189  000.154: require('telescope.pickers')
102.173  000.117  000.117: require('telescope.make_entry')
102.231  000.057  000.057: require('telescope.finders.async_static_finder')
102.399  000.044  000.044: require('plenary.class')
102.405  000.115  000.071: require('telescope._')
102.406  000.174  000.059: require('telescope.finders.async_oneshot_finder')
102.462  000.055  000.055: require('telescope.finders.async_job_finder')
102.464  000.470  000.068: require('telescope.finders')
102.466  001.714  000.055: require('telescope._extensions.fzf_mru')
102.641  000.055  000.055: require('telescope.previewers.previewer')
102.787  000.145  000.145: require('telescope.previewers.term_previewer')
103.026  000.051  000.051: require('plenary.context_manager')
103.029  000.126  000.075: require('telescope.previewers.utils')
103.946  000.916  000.916: require('plenary.filetype')
104.892  000.913  000.913: require('plenary.scandir')
104.961  002.174  000.218: require('telescope.previewers.buffer_previewer')
104.965  002.441  000.067: require('telescope.previewers')
104.970  002.502  000.061: require('telescope._extensions.ultisnips')
105.280  000.069  000.069: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/splitjoin.vim/plugin/splitjoin.vim
105.778  000.070  000.070: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-projectionist/plugin/projectionist.vim
106.239  000.105  000.105: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-floaterm/plugin/floaterm.vim
107.046  000.072  000.072: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/matchparen.vim
107.269  000.150  000.150: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-matchup/autoload/matchup.vim
107.366  000.043  000.043: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-matchup/autoload/matchup/perf.vim
107.854  000.295  000.295: require('treesitter-matchup')
108.006  000.481  000.186: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-matchup/autoload/matchup/loader.vim
108.358  000.278  000.278: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-matchup/autoload/matchup/matchparen.vim
108.805  002.193  001.168: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-matchup/plugin/matchup.vim
109.340  000.077  000.077: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/plugs.vim
109.640  000.146  000.146: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps.vim
109.846  000.066  000.066: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps/all.vim
110.371  001.423  001.134: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-visual-multi/plugin/visual-multi.vim
110.608  000.125  000.125: require('helper/colors')
111.411  000.084  000.084: require('scrollbar.const')
111.505  000.093  000.093: require('scrollbar.utils')
111.585  000.079  000.079: require('scrollbar.handlers')
111.587  000.978  000.721: require('scrollbar')
111.674  000.085  000.085: require('scrollbar.config')
111.910  000.073  000.073: require('scrollbar.handlers.cursor')
112.243  000.250  000.250: require('vim.diagnostic')
112.246  000.325  000.076: require('scrollbar.handlers.diagnostic')
112.768  000.042  000.042: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/ultisnips/autoload/UltiSnips/map_keys.vim
112.810  000.433  000.392: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/ultisnips/plugin/UltiSnips.vim
112.898  000.013  000.013: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/ultisnips/ftdetect/snippets.vim
113.173  000.093  000.093: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/hop.nvim/plugin/hop.vim
113.961  000.073  000.073: require('hop.perm')
113.963  000.199  000.126: require('hop.defaults')
114.085  000.060  000.060: require('hop.priority')
114.086  000.123  000.063: require('hop.hint')
114.241  000.076  000.076: require('hop.window')
114.244  000.157  000.081: require('hop.jump_target')
114.248  001.062  000.584: require('hop')
114.309  000.060  000.060: require('hop.highlight')
114.815  000.122  000.122: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-repeat/autoload/repeat.vim
115.582  000.067  000.067: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/autoload/provider/pythonx.vim
336.791  000.096  000.096: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/autoload/remote/host.vim
336.848  221.470  221.307: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/autoload/provider/python3.vim
336.866  221.928  000.459: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-jsonpath/plugin/jsonpath.vim
337.216  000.145  000.145: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/conflict-marker.vim/plugin/conflict_marker.vim
338.486  000.167  000.167: require('gitsigns.async')
338.570  000.083  000.083: require('gitsigns.debug.log')
338.754  000.183  000.183: require('gitsigns.config')
338.757  001.067  000.635: require('gitsigns')
339.050  000.144  000.144: require('gitsigns.highlight')
340.984  000.581  000.581: require('filetype')
341.433  000.020  000.020: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
342.116  000.300  000.300: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/fzf/plugin/fzf.vim
342.872  000.571  000.571: require('fzf-lua.cmp_src')
342.894  000.668  000.097: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/fzf-lua/plugin/fzf-lua.lua
342.948  000.008  000.008: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/fzf-lua/plugin/fzf-lua.vim
344.227  001.129  001.129: require('fzf-lua.utils')
344.989  000.114  000.114: require('fzf-lua.lib.base64')
345.157  000.167  000.167: require('fzf-lua.lib.serpent')
345.161  000.685  000.403: require('fzf-lua.libuv')
345.166  000.937  000.252: require('fzf-lua.path')
345.174  002.216  000.150: require('fzf-lua.actions')
346.253  000.473  000.473: require('nvim-web-devicons.icons-default')
346.351  000.935  000.462: require('nvim-web-devicons')
346.375  001.017  000.082: require('fzf-lua.devicons')
346.575  000.062  000.062: require('fzf-lua.previewer')
346.616  000.239  000.177: require('fzf-lua.defaults')
346.620  001.338  000.082: require('fzf-lua.config')
346.680  000.007  000.007: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/fzf-lua/plugin/fzf-lua.vim
346.777  000.016  000.016: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/fzf-lua/autoload/fzf_lua.vim
347.184  000.061  000.061: require('fzf-lua.fzf')
347.289  000.103  000.103: require('fzf-lua.win')
347.355  000.065  000.065: require('fzf-lua.shell')
347.416  000.060  000.060: require('fzf-lua.make_entry')
347.421  000.400  000.111: require('fzf-lua.core')
347.426  002.235  000.475: require('fzf-lua')
348.186  000.019  000.019: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/nvim-hlslens/plugin/hlslens.vim
348.720  000.524  000.524: require('hlslens')
348.874  000.049  000.049: require('hlslens.lib.disposable')
348.875  000.099  000.051: require('hlslens.lib.event')
